file,line_count,classification,inbound_imports,inbound_files,outbound_imports,outbound_modules,referenced_by_runner,runner_references,referenced_by_tests,test_references,dynamic_import_risk,dynamic_markers,parse_error,replacement,action,archive_reason
scripts/environments/run_v80_unified_grasp_stack.py,321,LEGACY_REFERENCE,3,scripts/environments/audit_near_grasp_code_paths.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v80_reports.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v81_reports.py,37,__future__;__future__.annotations;argparse;pathlib;pathlib.Path;pipeline.unified_grasp.asset_audit;pipeline.unified_grasp.asset_audit.audit_assets;pipeline.unified_grasp.contact_manager;pipeline.unified_grasp.contact_manager.probe_contact_signals;pipeline.unified_grasp.curriculum;pipeline.unified_grasp.curriculum.write_curriculum_artifacts;pipeline.unified_grasp.eval_unified_rl;pipeline.unified_grasp.eval_unified_rl.evaluate_unified_policy;pipeline.unified_grasp.grasp_prior_generator;pipeline.unified_grasp.grasp_prior_generator.write_grasp_prior_bank;pipeline.unified_grasp.object_randomization;pipeline.unified_grasp.object_randomization.write_object_randomization_report;pipeline.unified_grasp.seed_bank;pipeline.unified_grasp.seed_bank.load_unified_seed_bank;pipeline.unified_grasp.serial_replay_validator;pipeline.unified_grasp.serial_replay_validator.validate_single_final_replay;pipeline.unified_grasp.train_unified_rl;pipeline.unified_grasp.train_unified_rl.train_unified_policy;pipeline.unified_grasp.unified_grasp_env;pipeline.unified_grasp.unified_grasp_env.run_env_smoke;pipeline.unified_grasp.v80_reports;pipeline.unified_grasp.v80_reports.V80_PARTS;pipeline.unified_grasp.v80_reports.default_progress_row;pipeline.unified_grasp.v80_reports.ensure_run_dir;pipeline.unified_grasp.v80_reports.merge_progress_rows;pipeline.unified_grasp.v80_reports.write_failure_taxonomy;pipeline.unified_grasp.v80_reports.write_json;pipeline.unified_grasp.v80_reports.write_progress_matrix;pipeline.unified_grasp.v80_reports.write_source_archive_check;sys;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,False,,True,eval(,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
scripts/environments/run_v81_physical_backend_grasp_rl.py,2465,LEGACY_REFERENCE,5,scripts/environments/audit_near_grasp_code_paths.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/minimal_workcell_gate.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v81_reports.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v88_audits.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v90_bottleneck_isolation.py,126,__future__;__future__.annotations;argparse;csv;isaaclab.app;isaaclab.app.AppLauncher;os;pathlib;pathlib.Path;pipeline.unified_grasp.asset_audit;pipeline.unified_grasp.asset_audit.audit_assets;pipeline.unified_grasp.curriculum;pipeline.unified_grasp.curriculum.write_curriculum_artifacts;pipeline.unified_grasp.eval_unified_rl;pipeline.unified_grasp.eval_unified_rl.evaluate_unified_policy;pipeline.unified_grasp.eval_unified_rl.evaluate_v86_guarded_residual_policy;pipeline.unified_grasp.eval_unified_rl.evaluate_v87_contact_guided_policy;pipeline.unified_grasp.eval_unified_rl.evaluate_v88_stabilized_policy;pipeline.unified_grasp.eval_unified_rl.evaluate_v89_hybrid_policy;pipeline.unified_grasp.grasp_prior_generator;pipeline.unified_grasp.grasp_prior_generator.write_grasp_prior_bank;pipeline.unified_grasp.minimal_workcell_gate;pipeline.unified_grasp.minimal_workcell_gate.run_v95_minimal_workcell_gate;pipeline.unified_grasp.minimal_workcell_gate.write_v95_workcell_code_freeze;pipeline.unified_grasp.object_randomization;pipeline.unified_grasp.object_randomization.write_object_randomization_report;pipeline.unified_grasp.physical_backend;pipeline.unified_grasp.physical_backend.IsaacUnifiedGraspPhysicalBackend;pipeline.unified_grasp.physical_backend.write_backend_creation_report;pipeline.unified_grasp.physical_backend.write_controlled_contact_probe;pipeline.unified_grasp.physical_backend.write_v82_contact_actuation_probe;pipeline.unified_grasp.seed_bank;pipeline.unified_grasp.seed_bank.load_unified_seed_bank;pipeline.unified_grasp.single_context_backend;pipeline.unified_grasp.single_context_backend.IsaacUnifiedSingleContextBackend;pipeline.unified_grasp.single_context_backend.run_v83_unified_physical_backend_audit;pipeline.unified_grasp.single_context_backend.run_v84_controlled_real_contact_probe;pipeline.unified_grasp.single_context_backend.run_v85_contact_sanity_and_plug_screw_repair;pipeline.unified_grasp.single_context_backend.run_v86_contact_gate_preflight;pipeline.unified_grasp.single_context_backend.run_v89_candidate_probe;pipeline.unified_grasp.single_context_backend.run_v90_feasibility_bench;pipeline.unified_grasp.single_context_backend.run_v91_asset_dynamics_audit;pipeline.unified_grasp.single_context_backend.run_v91_observation_runtime_audit;pipeline.unified_grasp.single_context_backend.run_v91_quasistatic_feasibility_bench;pipeline.unified_grasp.single_context_backend.run_v91_staging_sanity_bench;pipeline.unified_grasp.single_context_backend.run_v92_collision_subtree_audit_and_repair;pipeline.unified_grasp.single_context_backend.run_v92_finger_action_sensor_calibration;pipeline.unified_grasp.single_context_backend.run_v92_sanity_probe;pipeline.unified_grasp.single_context_backend.run_v92_screw1_dynamic_repair_audit;pipeline.unified_grasp.single_context_backend.run_v92_staging_repair_audit;pipeline.unified_grasp.single_context_backend.run_v92_support_gate_calibration;pipeline.unified_grasp.single_context_backend.run_v93_collision_geometry_audit_and_repair;pipeline.unified_grasp.single_context_backend.run_v93_native_shutdown_root_cause;pipeline.unified_grasp.single_context_backend.run_v93_post_collision_contact_sanity;pipeline.unified_grasp.single_context_backend.run_v93_safe_staging_audit;pipeline.unified_grasp.single_context_backend.run_v93_screw1_post_repair_sanity;pipeline.unified_grasp.single_context_backend.run_v93_support_gate_post_repair_audit;pipeline.unified_grasp.single_context_backend.run_v94_actual_object_contact_calibration;pipeline.unified_grasp.single_context_backend.run_v94_diagnostic_target_finger_sensor_map;pipeline.unified_grasp.single_context_backend.run_v94_finger_motion_calibration;pipeline.unified_grasp.single_context_backend.run_v94_pregrasp_alignment_audit;pipeline.unified_grasp.single_context_backend.run_v94_wrist_action_calibration;pipeline.unified_grasp.train_unified_rl;pipeline.unified_grasp.train_unified_rl.train_unified_policy;pipeline.unified_grasp.train_unified_rl.train_v86_guarded_residual_ppo_smoke;pipeline.unified_grasp.train_unified_rl.train_v87_contact_guided_residual_ppo;pipeline.unified_grasp.train_unified_rl.train_v88_stabilized_residual_ppo;pipeline.unified_grasp.train_unified_rl.train_v89_hybrid_residual_ppo;pipeline.unified_grasp.unified_grasp_env;pipeline.unified_grasp.unified_grasp_env.run_env_smoke;pipeline.unified_grasp.v80_reports;pipeline.unified_grasp.v80_reports.V80_PARTS;pipeline.unified_grasp.v80_reports.ensure_run_dir;pipeline.unified_grasp.v80_reports.write_csv;pipeline.unified_grasp.v80_reports.write_json;pipeline.unified_grasp.v81_reports;pipeline.unified_grasp.v81_reports.default_v81_progress_row;pipeline.unified_grasp.v81_reports.merge_v81_progress_rows;pipeline.unified_grasp.v81_reports.write_v81_progress_matrix;pipeline.unified_grasp.v81_reports.write_v81_source_archive_check;pipeline.unified_grasp.v88_audits;pipeline.unified_grasp.v88_audits.write_v88_code_path_audit;pipeline.unified_grasp.v88_audits.write_v88_forbidden_artifact_scan;pipeline.unified_grasp.v88_audits.write_v88_observation_audit;pipeline.unified_grasp.v88_audits.write_v88_physics_asset_audit;pipeline.unified_grasp.v89_hybrid_repair;pipeline.unified_grasp.v89_hybrid_repair.V89_BRANCHES;pipeline.unified_grasp.v89_hybrid_repair.load_v88_artifacts;pipeline.unified_grasp.v89_hybrid_repair.select_best_candidates;pipeline.unified_grasp.v89_hybrid_repair.valid_bc_rows;pipeline.unified_grasp.v89_hybrid_repair.write_v89_code_growth_report;pipeline.unified_grasp.v89_hybrid_repair.write_v89_failure_diagnosis;pipeline.unified_grasp.v89_hybrid_repair.write_v89_forbidden_artifact_scan;pipeline.unified_grasp.v89_hybrid_repair.write_v89_nominal_candidate_plan;pipeline.unified_grasp.v89_hybrid_repair.write_v89_physics_decision;pipeline.unified_grasp.v89_hybrid_repair.write_v89_progress_matrix;pipeline.unified_grasp.v90_bottleneck_isolation;pipeline.unified_grasp.v90_bottleneck_isolation.classify_v90_bottlenecks;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_code_freeze_report;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_disk_preflight;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_feasibility_candidate_plan;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_forbidden_artifact_scan;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_physics_asset_bottleneck_report;pipeline.unified_grasp.v90_bottleneck_isolation.write_v90_progress_matrix;pipeline.unified_grasp.v91_task_sanity;pipeline.unified_grasp.v91_task_sanity.classify_v91_decisions;pipeline.unified_grasp.v91_task_sanity.write_v91_feasibility_candidate_plan;pipeline.unified_grasp.v91_task_sanity.write_v91_forbidden_artifact_scan;pipeline.unified_grasp.v91_task_sanity.write_v91_progress_matrix;pipeline.unified_grasp.v92_task_setup_calibration;pipeline.unified_grasp.v92_task_setup_calibration.classify_v92_progress;pipeline.unified_grasp.v92_task_setup_calibration.write_v92_forbidden_artifact_scan;pipeline.unified_grasp.v92_task_setup_calibration.write_v92_task_initial_condition_plan;pipeline.unified_grasp.v93_collision_geometry_safe_staging;pipeline.unified_grasp.v93_collision_geometry_safe_staging.classify_v93_readiness;pipeline.unified_grasp.v93_collision_geometry_safe_staging.write_v93_forbidden_artifact_scan;pipeline.unified_grasp.v93_collision_geometry_safe_staging.write_v93_safe_staging_plan;pipeline.unified_grasp.v94_safe_pregrasp_contact_calibration;pipeline.unified_grasp.v94_safe_pregrasp_contact_calibration.classify_v94_readiness;pipeline.unified_grasp.v94_safe_pregrasp_contact_calibration.write_v94_collision_proxy_decision;pipeline.unified_grasp.v94_safe_pregrasp_contact_calibration.write_v94_forbidden_artifact_scan;pipeline.unified_grasp.v94_safe_pregrasp_contact_calibration.write_v94_v93_blocker_reclassification;shutil;sys;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,False,,True,eval(,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
scripts/environments/run_v95_scripted_contact_baseline.py,1189,LEGACY_REFERENCE,1,scripts/environments/audit_near_grasp_code_paths.py,37,__future__;__future__.annotations;argparse;datetime;datetime.datetime;datetime.timezone;gymnasium;imageio_ffmpeg;isaaclab.app;isaaclab.app.AppLauncher;isaaclab_tasks.direct.np;isaaclab_tasks.utils.parse_cfg;isaaclab_tasks.utils.parse_cfg.parse_env_cfg;json;os;pathlib;pathlib.Path;pipeline.unified_grasp.contact_adaptive_grasp_baseline;pipeline.unified_grasp.contact_adaptive_grasp_baseline.ContactAdaptiveGraspConfig;pipeline.unified_grasp.contact_adaptive_grasp_baseline.run_contact_adaptive_grasp_baseline;pipeline.unified_grasp.screw1_grasp_baseline_v2;pipeline.unified_grasp.screw1_grasp_baseline_v2.Screw1GraspBaselineV2Config;pipeline.unified_grasp.screw1_grasp_baseline_v2.run_screw1_grasp_baseline_v2;pipeline.unified_grasp.scripted_contact_baseline;pipeline.unified_grasp.scripted_contact_baseline.ScriptedBaselineConfig;pipeline.unified_grasp.scripted_contact_baseline.run_scripted_contact_baseline;pipeline.unified_grasp.video_log_alignment;pipeline.unified_grasp.video_log_alignment.make_run_id;pipeline.unified_grasp.video_log_alignment.write_run_manifest;pipeline.video;pipeline.video.StreamingVideoRecorder;pipeline.video.configure_pipeline_context;shutil;subprocess;sys;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/__init__.py,17,LEGACY_REFERENCE,6,scripts/environments/_repo_imports.py;scripts/environments/audit_near_grasp_code_paths.py;scripts/environments/wuji_v2_physical_grasp_search.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/__init__.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v80_reports.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v81_reports.py,4,__future__;__future__.annotations;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports,True,scripts/environments/_repo_imports.py;scripts/environments/audit_near_grasp_code_paths.py;scripts/environments/wuji_v2_physical_grasp_search.py,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/acquisition_plan_executor.py,84,LEGACY_REFERENCE,2,scripts/environments/audit_near_grasp_code_paths.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_grasp_baseline.py,10,__future__;__future__.annotations;copy;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._execute_acquisition_plan;json;pathlib;pathlib.Path;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/asset_audit.py,125,LEGACY_REFERENCE,0,,13,__future__;__future__.annotations;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.physics_profile;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.physics_profile.get_physics_profile;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.physics_profile.write_physics_profile_config;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.V80_PARTS;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.write_csv;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.write_json;pathlib;pathlib.Path;typing;typing.Any,False,,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/closure_prior.py,261,LEGACY_REFERENCE,4,scripts/environments/audit_near_grasp_code_paths.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_grasp_baseline.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/precontact_fingertip_controller.py;source/isaaclab_tasks/test/test_closure_prior.py,16,__future__;__future__.annotations;argparse;dataclasses;dataclasses.asdict;dataclasses.dataclass;dataclasses.field;hashlib;io;json;numpy;pathlib;pathlib.Path;pickle;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,True,source/isaaclab_tasks/test/test_closure_prior.py,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_closure.py,257,LEGACY_REFERENCE,2,scripts/environments/audit_near_grasp_code_paths.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_grasp_baseline.py,16,__future__;__future__.annotations;dataclasses;dataclasses.dataclass;dataclasses.field;hand_morphology;hand_morphology.HandMorphologySpec;hand_morphology.MorphologyCalibration;hand_morphology.ObjectGraspSpec;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.HandMorphologySpec;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.MorphologyCalibration;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.ObjectGraspSpec;numpy;typing;typing.Mapping,True,scripts/environments/audit_near_grasp_code_paths.py,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_grasp_baseline.py,1450,LEGACY_REFERENCE,1,scripts/environments/audit_near_grasp_code_paths.py,75,__future__;__future__.annotations;csv;dataclasses;dataclasses.asdict;dataclasses.dataclass;dataclasses.field;env_adapter;env_adapter.WujiV2EnvAdapter;hashlib;isaaclab_tasks.direct.np.wuji_assembly_v2.env_adapter;isaaclab_tasks.direct.np.wuji_assembly_v2.env_adapter.WujiV2EnvAdapter;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.acquisition_plan_executor;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.acquisition_plan_executor.execute_acquisition_plan;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.acquisition_plan_executor.load_acquisition_plan;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.acquisition_plan_executor.translated_plan;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.closure_prior;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.closure_prior.ClosurePrior;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.closure_prior.analyze_recording;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.closure_prior.write_prior;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.ABORT;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.COMPLETE;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.CONTROLLED_CLOSE;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.ClosureObservation;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.ContactAdaptiveClosure;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.MULTI_CONTACT_BALANCE;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.POST_CLOSE_HOLD;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_adaptive_closure.SLOW_LIFT;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_manager;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.contact_manager.ContactManager;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.JointEffectProbe;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.MorphologyCalibration;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.ObjectGraspSpec;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.build_wuji_morphology_spec;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.calibration_from_dict;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.default_object_grasp_specs;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.hand_morphology.effect_matrix_from_probes;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller.ABORTED;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller.LocalActiveJacobian;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller.PreContactFingertipController;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller.PreContactObservation;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.precontact_fingertip_controller.quat_wxyz_to_matrix;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2.Screw1GraspBaselineV2Config;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._V2AllBodyContactTruth;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._calibrate_canonical_support_pose;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._configure_v2_control;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._fresh_episode;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._hand_audit_snapshot;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._part_bbox_bottom_z;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._run_force_guarded_grasp_trial;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._set_wrist_delta_action;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._step_direct_action;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.screw1_grasp_baseline_v2._zero_action;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline._base_env;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline._distance;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline._norm;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline._quat_for_rpy_offset;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline._target_env_index;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.scripted_contact_baseline.read_state;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.video_log_alignment;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.video_log_alignment.AlignmentRecorder;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.video_log_alignment.make_run_id;json;math;numpy;pathlib;pathlib.Path;torch;typing;typing.Any,True,scripts/environments/audit_near_grasp_code_paths.py,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_manager.py,377,LEGACY_REFERENCE,5,source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/contact_adaptive_grasp_baseline.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/physical_backend.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/single_context_backend.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/unified_grasp_env.py;source/isaaclab_tasks/isaaclab_tasks/direct/np/wuji_assembly_v2/pipeline/unified_grasp/v88_audits.py,16,__future__;__future__.annotations;dataclasses;dataclasses.asdict;dataclasses.dataclass;dataclasses.field;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.V80_PARTS;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.write_csv;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.write_json;isaaclab_tasks.direct.np.wuji_assembly_v2.pipeline.unified_grasp.v80_reports.write_jsonl;math;pathlib;pathlib.Path;typing;typing.Any,False,,False,,False,,,near_grasp package and handoff runbook,keep_compat_location,inbound runner/test/dynamic references remain
